ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
DK,DNK,Denmark,2021-04-01,2021-04-01,1212,4304953.34675631,1015,5436,157,2208,8156.2,5,1212,502,0,0,222,938,99,117,6,29307.9653960582,1,5,0,1,4,18678.3023526807,157,1167,22762.2635700942,14,5,8,1,4,52,13,37,7,6,52,11,39,6,5,689,5,0,5,0,0,4,0,5,0,0,4,0,4,0,3,2,2,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,2,2,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00412541254125413,0.00360855059193171,0.00495049504950495,0.00395133126061154,0.0068079635330174,7.76764002832293e-05,0.0033003300330033,0.00322892252077868,0.00433879321055926,6.20874946367709e-05,0.00689738081261267,0.00107517592944165
DK,DNK,Denmark,2021-04-02,2021-04-02,1250,4137368.72108187,1039,6348,181,2347,8873.2,5,1250,529,0,0,230,985,110,117,8,33091.3340601275,1,7,0,1,5,25178.7460944391,182,1212,23639.9858157276,16,3,12,1,2,55,10,42,4,5,61,13,46,5,7,718,5,1,4,1,0,3,1,4,1,0,3,1,3,0,2,0,2,2,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,3,0,2,0,2,2,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.004,0.00349907095574187,0.0064,0.00442067780315614,0.00799815928696694,8.58296301583932e-05,0.004,0.00349907095574187,0.00608569063862772,7.49402926932093e-05,0.00769882018621668,0.00111418761651537
DK,DNK,Denmark,2021-04-03,2021-04-03,1125,4158135.85267236,937,5159,192,2027,8348.35,6,1125,483,0,0,206,867,90,114,10,51802.174532637,1,8,0,1,8,47075.3823730544,192,1088,21221.3734055377,17,2,14,0,2,56,5,48,1,4,61,6,52,1,5,600,6,0,6,0,0,6,0,6,0,0,6,4,4,2,4,6,5,4,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,4,6,5,4,1,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00533333333333333,0.00425608189301166,0.00888888888888889,0.00548474879045035,0.0124580283973513,0.000106610797834265,0.00711111111111111,0.00491010622129703,0.0113212708870009,0.000101688991488774,0.00904748228735742,0.00127394782278758
DK,DNK,Denmark,2021-04-04,2021-04-04,1329,4156102.73392158,1137,6288,157,2557,9297.6,7,1329,536,0,0,248,1028,103,139,6,18737.286473022,1,5,0,1,3,14086.8791803975,158,1290,25161.3710414923,15,4,7,1,3,55,15,35,5,10,63,19,37,6,13,767,7,2,5,1,1,7,2,5,1,1,7,2,4,0,5,5,3,3,0,2,1,6,2,1,1,0,2,2,1,2,0,1,0,2,2,2,4,0,5,5,3,3,0,2,1,6,2,1,1,0,2,2,1,2,0,1,0,2,2,1,0.00526711813393529,0.00389157466329741,0.00451467268623025,0.00360426045490938,0.00450837904464937,6.44071333054717e-05,0.00225733634311512,0.00255148493837735,0.00338944441036605,5.58768548590092e-05,0.0062794670345845,0.000976055390314701
DK,DNK,Denmark,2021-04-05,2021-04-05,1437,4181160.16133769,1229,7578,207,2743,10535.7,9,1437,616,0,0,243,1143,112,125,10,36419.6768455002,0,9,0,0,8,31152.1130939269,209,1396,27228.8945534289,20,3,14,0,2,65,14,45,5,8,69,14,48,5,9,840,9,0,9,0,0,9,0,9,0,0,9,1,5,3,4,2,5,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,4,2,5,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00626304801670146,0.00407894920650751,0.0069589422407794,0.00429808426190244,0.00871042376761007,8.90675694293807e-05,0.00556715379262352,0.00384701647957241,0.0074505907192898,8.2427306843328e-05,0.00767566966737844,0.00103661632472542
DK,DNK,Denmark,2021-04-06,2021-04-06,1328,4166516.39627851,1149,7118.75,199,2447,9768.5,11,1328,586,0,0,254,1031,122,128,7,14077.5983425331,2,4,1,1,6,12438.537084475,199,1292,25200.380919076,12,3,8,1,2,63,10,47,3,7,65,10,50,2,8,812,11,0,11,0,0,10,0,11,0,0,10,1,6,2,4,5,5,3,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,4,5,5,3,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00828313253012048,0.00487461374266697,0.0052710843373494,0.00389449730180353,0.00337874545630183,5.57191334006689e-05,0.00451807228915663,0.00360696834750533,0.00298535656683961,5.23854183982883e-05,0.00789670603150933,0.00109281329405891
DK,DNK,Denmark,2021-04-07,2021-04-07,1275,4223366.04978227,1084,6003.68,262,2199,9381.3,8,1275,526,0,0,239,992,124,109,12,45443.4347954466,3,9,2,1,10,40554.5155405268,264,1233,24049.5895303566,17,4,11,2,2,72,10,56,5,5,74,12,57,5,7,761,8,0,8,0,0,8,0,8,0,0,8,1,4,5,5,5,4,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,5,5,4,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00627450980392157,0.00433427152631806,0.00941176470588235,0.00529999075650834,0.0107600038120753,9.83956218898095e-05,0.00784313725490196,0.00484203669762921,0.00960241548151325,9.30065985681347e-05,0.0109773183308084,0.00131687790757705
DK,DNK,Denmark,2021-04-08,2021-04-08,1289,4157780.45521999,1071,6412,137,2143,9231.3,6,1289,573,0,0,246,982,126,117,9,21304.8589830946,2,5,1,1,6,15495.2871006261,137,1233,24049.5895303566,19,3,11,2,1,46,13,25,6,7,52,15,31,6,9,777,5,0,5,0,0,4,0,6,0,0,5,2,2,0,3,2,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,2,4,4,1,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00465477114041893,0.0037158456717143,0.00698215671062839,0.00454563912605421,0.0051240942643681,6.86294196121562e-05,0.00465477114041893,0.0037158456717143,0.00372681705239441,5.85700468632305e-05,0.00569656292166949,0.000951174451289212
DK,DNK,Denmark,2021-04-09,2021-04-09,1081,3905017.48258974,932,5786.22,109,1863,7636.3,11,1081,450,0,0,211,829,111,97,12,50287.2684037581,1,11,1,0,9,42597.0642187193,109,1040,20285.1363435287,11,1,8,0,1,51,8,42,3,5,54,12,39,5,7,688,11,0,11,0,0,11,0,11,0,0,11,3,9,3,8,6,8,5,3,1,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,8,6,8,5,3,1,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0101757631822387,0.00598270765431839,0.0111008325624422,0.00624581369651525,0.0128776039103437,0.000111825187211346,0.00832562442183164,0.00541661786130127,0.0109082902723574,0.000103022770235469,0.0053733925251517,0.00100603582297148
DK,DNK,Denmark,2021-04-10,2021-04-10,1137,4183747.09304079,953,6279,179,1954,8480.3,7,1137,485,0,0,237,848,131,100,9,34510.5777389463,0,8,0,0,7,24597.768055727,180,1103,21513.9474874155,17,3,12,3,0,54,9,42,6,3,59,10,45,7,3,713,7,0,7,0,0,6,0,7,0,0,6,2,4,1,6,5,3,3,1,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,6,5,3,3,1,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00615655233069481,0.00454669305027199,0.0079155672823219,0.00515090094881366,0.00824872464120762,8.66682776882193e-05,0.00615655233069481,0.00454669305027199,0.0058793630467393,7.32571574700706e-05,0.00836666539719362,0.00121713793398931
