ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
SI,SVN,Slovenia,2021-07-01,2021-07-01,148,1575038.38709703,124,242,80,299,0,1,148,35,22,123,102,43,14,85,1,15936.6613384452,1,0,0,1,1,15936.6613384452,80,145,15136.1021658411,2,1,1,0,1,2,1,1,0,1,4,2,2,0,2,26,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00675675675675676,0.0131981842005323,0.00675675675675676,0.0131981842005323,0.0101182685253902,0.000156295788069486,0.00675675675675676,0.0131981842005323,0.0101182685253902,0.000156295788069486,0.00528537658661837,0.00115512314372139
SI,SVN,Slovenia,2021-07-02,2021-07-02,140,1559958.50030163,123,205,131,321,0,2,140,39,26,110,106,32,20,85,1,17299.930066237,0,1,0,0,1,17299.930066237,131,139,14509.7806969097,1,0,1,0,0,3,1,2,1,0,3,3,0,2,1,20,13,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0142857142857143,0.0196566985974023,0.00714285714285714,0.0139496540611004,0.0110899937805345,0.000164337094941446,0.00714285714285714,0.0139496540611004,0.0110899937805345,0.000164337094941446,0.00902839282938993,0.00153905271758491
SI,SVN,Slovenia,2021-07-03,2021-07-03,130,1549059.88016278,109,273.1,185,311.1111,0,0,130,35,22,106,92,34,17,72,0,0,0,0,0,0,0,0,186,128,13361.5246705356,0,0,0,0,0,2,1,1,0,1,2,1,1,0,1,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0139205670450291,0.00198657284901387
SI,SVN,Slovenia,2021-07-04,2021-07-04,148,1352445.92615246,130,234,131,440,0,1,148,45,30,114,101,44,13,87,2,16798.7416181292,0,2,0,0,1,11499.8134846089,131,147,15344.8759888182,0,0,0,0,0,5,2,3,0,2,6,3,3,0,3,24,9,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0.00675675675675676,0.0131981842005323,0.0135135135135135,0.0186014561875711,0.0124210079628984,0.000186660522675311,0.00675675675675676,0.0131981842005323,0.00850297469365331,0.000154745948409062,0.00853705172302857,0.00145565548218265
SI,SVN,Slovenia,2021-07-05,2021-07-05,148,1600681.25920209,124,216,38,345,0,2,148,39,25,116,102,42,13,87,0,0,0,0,0,0,0,0,38,144,15031.7152543525,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,19,9,0,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0135135135135135,0.0186014561875711,0,0,0,0,0,0,0,0,0.00252798828057875,0.000802752576748071
SI,SVN,Slovenia,2021-07-06,2021-07-06,126,1625473.91232044,112,172,151,289,0,0,126,19,28,93,93,31,16,70,0,0,0,0,0,0,0,0,151,126,13152.7508475584,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0114804881313501,0.00182059185034266
SI,SVN,Slovenia,2021-07-07,2021-07-07,153,1564322.21813053,138,165.5,175,448.2,0,1,153,34,34,113,102,50,23,79,1,14222.3557794329,0,0,0,0,0,0,175,151,15762.4236347724,1,0,0,0,0,2,0,2,0,0,2,0,2,0,0,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0065359477124183,0.0127682900213672,0.0065359477124183,0.0127682900213672,0.00909170477449945,0.000148738836068769,0,0,0,0,0.0111023535501193,0.00163576078151917
SI,SVN,Slovenia,2021-07-08,2021-07-08,161,1432710.78142496,132,303,43,435,0,1,161,46,25,125,117,35,21,92,0,0,0,0,0,0,0,0,43,153,15971.1974577495,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,29,13,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0062111801242236,0.0121358239675658,0,0,0,0,0,0,0,0,0.00269234665176189,0.000803636059822334
SI,SVN,Slovenia,2021-07-09,2021-07-09,121,1559528.59832832,99,209,83,304,0,0,121,28,23,91,86,31,15,70,2,23344.1718296162,0,2,0,0,2,23344.1718296162,83,116,12108.8817326728,3,0,3,0,0,3,0,3,0,0,2,0,2,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0165289256198347,0.0227173941974505,0.0149687359722927,0.000190576343860378,0.0165289256198347,0.0227173941974505,0.0149687359722927,0.000190576343860378,0.00685447276077071,0.00146956752176778
SI,SVN,Slovenia,2021-07-10,2021-07-10,146,1389439.86978448,128,234,63,416,0,0,146,32,28,115,105,39,14,89,0,0,0,0,0,0,0,0,63,146,15240.4890773296,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.00413372560948278,0.0010186382365156
