ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,tested_vaccinated,tested_unvaccinated,tested_vac1dose,tested_vac2doses,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
BG,BGR,Bulgaria,2021-10-01,2021-10-01,398,5367630.25414641,345,1037,208,804,0,20,398,142,110,280,240,142,20,217,7,113360.422938654,3,4,0,3,6,107576.744788978,209,394,18042.1550642904,9,3,6,0,3,20,9,10,0,9,21,8,12,0,8,50,30,0,0,0,12,4,8,0,4,11,9,11,1,8,17,7,8,3,6,9,6,7,3,1,6,6,5,2,4,1,2,4,2,3,1,0,2,2,1,9,9,3,8,12,7,11,6,1,9,10,7,3,5,1,3,5,2,5,3,0,3,4,2,1,0.050251256281407,0.0214627012603351,0.0175879396984925,0.0129140029600244,0.0211192682005406,0.000121635716497603,0.0150753768844221,0.0119713228039766,0.0200417576650098,0.000118557349977392,0.0115839820273832,0.00156135878235161
BG,BGR,Bulgaria,2021-10-02,2021-10-02,372,5156965.07129509,324,1372,150,983,0,19,372,135,129,234,217,150,25,187,2,19718.0939902894,0,2,0,0,2,19718.0939902894,151,366,16759.9714556606,7,2,5,0,2,14,1,13,0,1,15,4,11,0,4,59,28,0,0,0,13,7,5,0,7,9,9,9,0,9,13,2,3,0,5,6,4,3,1,0,6,5,2,1,0,0,2,2,3,1,0,0,3,2,1,2,5,0,7,9,5,4,1,0,8,7,2,1,0,0,2,3,3,1,0,0,3,3,1,1,0.0510752688172043,0.0223716406303064,0.00537634408602151,0.0074310390079117,0.00382358494146976,5.32665409231499e-05,0.00537634408602151,0.0074310390079117,0.00382358494146976,5.32665409231499e-05,0.00900956188377041,0.00143053346564902
BG,BGR,Bulgaria,2021-10-03,2021-10-03,381,5065318.72021826,325,1190,194,841,0,19,381,139,122,252,196,180,24,167,2,28445.9336729961,1,1,0,1,1,11277.2192676621,195,380,17401.0632599755,6,2,4,0,2,13,7,6,0,7,11,5,6,0,5,45,21,0,0,0,11,5,5,0,5,8,6,12,0,6,13,1,4,0,2,7,1,0,1,0,4,2,0,0,1,0,1,3,0,0,1,0,2,1,0,2,8,3,6,10,4,2,3,1,7,4,2,1,2,1,2,4,0,1,2,1,3,2,1,1,0.0498687664041995,0.0218570584295017,0.005249343832021,0.0072559658543556,0.00561582305955476,6.50771481556729e-05,0.0026246719160105,0.00513750699044113,0.00222635926593306,4.10448184824424e-05,0.0112062117749162,0.00156402062387261
BG,BGR,Bulgaria,2021-10-04,2021-10-04,335,5113258.81345092,277,1302.4,148,729,0,14,335,116,101,219,177,146,26,145,3,37771.2347228058,1,1,0,1,1,8411.56810541481,148,327,14974.0728579263,8,2,5,1,1,11,3,8,0,2,13,5,7,2,2,51,21,0,0,0,10,4,6,1,2,8,4,9,1,2,11,2,6,2,6,3,4,3,2,2,5,4,2,2,2,0,3,2,3,2,1,1,1,2,1,3,8,4,9,5,7,5,4,3,8,7,3,2,2,0,3,2,3,2,1,1,1,2,1,1,0.0417910447761194,0.0214287784384677,0.00895522388059702,0.0100881272025442,0.0073869201815963,7.42199920035825e-05,0.00298507462686567,0.0058418999367808,0.00164505033136351,3.51262093963195e-05,0.00988375049355115,0.00158446299545666
BG,BGR,Bulgaria,2021-10-05,2021-10-05,433,5045010.72086317,363,1784,157,901,0,31,433,167,135,279,224,192,33,185,5,55302.6422879198,2,2,0,2,3,27290.797533007,157,424,19415.9232163937,11,0,9,0,0,23,7,15,1,6,21,6,13,1,5,74,37,0,0,0,17,3,13,0,3,15,8,21,1,7,25,4,11,4,13,9,9,5,4,3,9,7,8,1,3,1,3,2,2,2,1,0,0,1,3,6,14,6,17,13,11,9,7,4,15,9,9,2,4,1,4,3,2,3,2,0,3,1,3,1,0.0715935334872979,0.0242834350174867,0.0115473441108545,0.0100628994497393,0.0109618483186212,9.08584786789009e-05,0.0069284064665127,0.00781287905945088,0.0054094627430916,6.40053494086681e-05,0.0080861465226355,0.00125972819368179
BG,BGR,Bulgaria,2021-10-06,2021-10-06,382,5219602.22915118,327,1076.6,229,775,0,13,382,135,131,238,209,164,23,183,4,56338.9465477968,2,2,0,2,3,43374.4782091431,231,378,17309.478716502,3,1,2,0,1,11,4,6,0,4,9,4,4,0,4,45,23,0,0,0,7,3,4,0,3,7,4,9,0,4,13,2,5,1,4,5,3,4,0,3,4,2,3,1,2,1,2,2,1,1,0,1,2,0,1,3,7,3,7,7,4,5,1,5,9,3,4,1,2,1,2,3,1,2,0,2,3,0,1,1,0.0340314136125654,0.0181818431075184,0.0104712041884817,0.0102077245477627,0.0107937241334497,8.86458636628413e-05,0.00785340314136126,0.0088518343682162,0.008309920240071,7.78781810022612e-05,0.013345289236225,0.00170943538198013
BG,BGR,Bulgaria,2021-10-07,2021-10-07,379,5133974.11340192,332,1387,196,744,0,20,379,139,1,6,213,163,23,187,4,78772.6038908618,0,4,0,0,2,38251.6130142259,196,376,17217.8941730284,4,0,4,0,0,12,3,9,0,3,17,5,12,0,5,63,30,0,0,0,13,3,10,0,2,11,5,15,0,4,17,2,6,2,7,6,6,3,3,3,4,7,4,0,1,0,1,2,0,0,0,0,1,1,0,2,9,4,11,8,9,5,5,4,6,10,6,0,1,0,2,2,1,0,0,0,1,1,0,1,0.0527704485488127,0.0225087562510631,0.0105540897097625,0.0102880935723299,0.0153433971716435,0.000106322313029789,0.00527704485488127,0.00729415434861709,0.00745068287632625,7.43867082257213e-05,0.0113835059055614,0.00158456485239387
BG,BGR,Bulgaria,2021-10-08,2021-10-08,417,5409484.7719849,353,1432,293,857,0,25,417,153,0,0,251,155,33,213,8,97158.0676460821,2,5,0,2,7,86010.452406885,294,409,18729.0391403421,13,7,3,2,5,19,9,9,2,7,21,9,9,2,7,57,24,0,0,0,11,5,5,1,4,9,11,10,2,9,22,3,6,3,6,4,4,5,3,4,3,5,7,1,3,2,2,2,1,0,1,2,2,2,3,6,13,5,14,10,13,9,7,7,15,11,12,2,5,2,5,4,5,2,2,4,7,5,6,1,0.0599520383693046,0.0227854204266916,0.0191846522781775,0.0131659031504505,0.0179606878919879,0.000111916999834248,0.0167865707434053,0.0123306212173669,0.0158999342880718,0.000105411364442357,0.0156975484859086,0.00178020715557792
BG,BGR,Bulgaria,2021-10-09,2021-10-09,395,5090639.00135824,337,1472,191,1014,0,22,395,152,0,0,215,167,29,182,6,61861.9104921856,1,3,0,1,6,61861.9104921856,193,392,17950.5705208169,8,2,6,0,2,19,6,11,1,5,20,6,12,1,5,64,34,0,0,0,11,6,5,1,5,9,9,12,1,8,19,1,5,2,7,6,4,5,2,0,7,7,2,1,2,1,3,3,1,2,1,0,3,5,2,5,10,3,15,11,9,8,5,2,13,11,6,1,2,1,4,3,1,3,1,0,5,5,2,1,0.0556962025316456,0.0226161254191661,0.0151898734177215,0.012061543110513,0.0121520914124298,9.51771063803128e-05,0.0151898734177215,0.012061543110513,0.0121520914124298,9.51771063803128e-05,0.0107517474041386,0.00150869390268163
BG,BGR,Bulgaria,2021-10-10,2021-10-10,465,5247612.04247955,397,1189,200,969,0,29,465,153,0,0,247,208,26,217,5,114445.196125369,1,4,0,1,2,11725.7430776308,201,462,21156.0295423913,8,1,7,0,1,17,8,9,1,7,16,8,8,1,7,59,25,0,0,0,18,6,12,0,6,13,11,17,0,11,20,1,10,2,8,7,6,2,5,2,6,7,1,0,2,0,3,3,2,1,0,1,1,3,1,3,13,3,14,11,8,4,6,4,8,12,3,1,4,1,6,6,3,2,0,2,2,6,2,1,0.0623655913978495,0.0219791506242,0.010752688172043,0.00937416470167207,0.0218090047814001,0.000124967472200074,0.0043010752688172,0.00594804376057968,0.00223449122814541,4.03990173417117e-05,0.00950083755542349,0.00130719088612707
BG,BGR,Bulgaria,2021-10-11,2021-10-11,390,5077997.95825903,330,1005,233,796.2,0,31,390,145,0,0,217,161,19,192,2,19643.0203622848,0,2,0,0,1,13505.8366487884,233,380,17401.0632599755,12,6,5,0,6,16,8,7,1,7,20,10,8,3,7,57,25,0,0,0,19,10,9,1,9,14,17,13,2,15,23,1,7,3,9,6,6,4,4,4,7,6,3,1,4,2,6,2,2,1,2,3,3,3,2,2,11,3,16,9,12,5,7,4,13,10,6,2,7,2,10,3,5,2,3,3,7,6,4,1,0.0794871794871795,0.0268459793435358,0.00512820512820513,0.00708895208812226,0.00386826078382656,5.3990592254679e-05,0.00256410256410256,0.00501910153174291,0.00265967744764884,4.47958729698658e-05,0.0133899863772076,0.00170774501071351
BG,BGR,Bulgaria,2021-10-12,2021-10-12,472,5212859.87063911,413,996.6,310,1042,0,27,472,143,0,0,249,211,17,229,5,43151.8365025084,1,4,0,1,5,43151.8365025084,311,462,21156.0295423913,12,3,9,0,3,20,7,13,0,7,22,10,12,1,9,63,31,0,0,0,13,4,9,0,4,11,10,17,1,9,19,4,7,3,8,5,7,5,3,2,5,7,4,1,1,1,3,2,4,2,2,1,1,3,1,6,11,6,14,11,13,9,5,6,12,12,8,1,1,1,4,3,5,3,2,2,3,4,1,1,0.0572033898305085,0.020950624867368,0.010593220338983,0.00923588540044132,0.00827795827498771,7.77797718926472e-05,0.010593220338983,0.00923588540044132,0.00827795827498771,7.77797718926472e-05,0.0147003008942125,0.0016217290482427
BG,BGR,Bulgaria,2021-10-13,2021-10-13,445,5387005.0666726,379,1696,262,931,0,27,445,182,0,0,252,181,26,220,9,81807.945606866,1,6,0,1,6,46893.8124881777,263,431,19736.4691185512,8,3,4,0,3,27,9,14,0,9,26,9,15,0,9,68,28,0,0,0,14,3,11,0,3,12,7,18,0,7,20,6,9,2,6,10,7,7,3,2,5,6,4,1,2,0,1,2,1,1,0,0,1,2,1,8,15,6,10,14,10,9,4,3,10,8,7,1,3,1,2,4,1,2,1,1,3,3,2,1,0.0606741573033708,0.0221808455379894,0.0202247191011236,0.0130789407968283,0.0151861645931951,0.000103270319570208,0.0134831460674157,0.0107155868315922,0.00870498763372107,7.84440375295485e-05,0.0133255851601538,0.00159971802854147
BG,BGR,Bulgaria,2021-10-14,2021-10-14,468,5192600.0341411,412,1494,332,1104,0,33,468,173,0,0,249,203,26,220,8,105407.258485912,3,4,0,3,5,78230.3094059216,333,457,20927.0681837074,12,4,7,0,4,22,10,9,0,10,21,9,10,0,9,73,35,0,0,0,23,11,12,1,10,18,15,17,1,14,25,8,13,4,11,12,11,6,6,2,11,11,9,3,6,1,5,7,5,4,2,0,6,5,4,8,15,5,14,16,15,7,8,2,16,13,11,3,6,1,6,8,5,4,2,0,7,5,4,1,0.0705128205128205,0.0231942807578251,0.0170940170940171,0.0117436532829419,0.0202995142689336,0.00012129562590038,0.0106837606837607,0.00931439838361733,0.0150657298639527,0.000104774203374439,0.0159124057453616,0.00169542544567707
BG,BGR,Bulgaria,2021-10-15,2021-10-15,439,5739685.4782558,382,1430.9,310,926,0,27,439,173,0,0,242,176,31,201,5,143790.479761217,2,3,0,2,3,122384.727672863,311,424,19415.9232163937,16,8,7,0,8,29,13,15,0,13,26,13,12,0,13,57,29,0,0,0,14,5,9,0,5,11,10,16,2,8,23,4,9,2,5,7,5,4,3,0,8,3,3,2,5,2,4,4,3,3,2,0,5,2,2,9,14,6,13,14,9,7,7,4,16,10,8,4,6,4,6,7,4,5,3,1,7,4,4,1,0.061503416856492,0.0224740737013459,0.0113895216400911,0.00992615785751342,0.0250519789465733,0.000127854433928477,0.00683371298405467,0.00770646450866101,0.0213225494909964,0.000118179840689756,0.0160177806913353,0.00176589088582635
